Index,Repo_Name,Organization_Name,PR_Number,PR_Title,PR_Head,User,PR_Labels,URL,PR_State,PR_Body,PR_Additions,PR_Deletions,PR_Comments_Num,PR_Commits_Num,PR_Created_At,PR_Closed_At,PR_Merged,PR_Merged_At,PR_Merged_By,PR_Review_Comments_Num,PR_Updated_At,Review_Comment,Comment_Created_At,Comment_User,Comment_Updated_At,Comment,Inclusiveness_Scale_1_to_10,Inclusiveness_5_Categories,Inclusiveness_2_Categories,Constructiveness_Scale_1_to_10,Constructiveness_5_Categories,Constructiveness_2_Categories
1,sync,amphp,14,Next major,"PullRequestPart(sha=""10b86082474e297d06d818f50bdf823a3cb74bf3"")",Jáchym Toušek,[],https://api.github.com/repos/amphp/sync/pulls/14,open,"Just wanted to make a PR with things that can be considered for the next major release (whenever you decide to make it). I won't keep this up-to-date with conflicts unless you explicitly ask me to rebase it.

- https://github.com/amphp/file/pull/43#discussion_r418936134
- https://github.com/amphp/sync/issues/12
- Removed deprecated ext-pthreads support.

EDIT: Somehow it's causing a segfault on travis lol.",43,263,1,8,2020-05-02 09:55:36,,FALSE,,,17,2020-05-19 14:56:22,FALSE,2020-05-19 14:52:55,Jáchym Toušek,2020-05-19 14:52:55,My changes somehow broke `PosixSemaphoreTest`. I'm not sure what's wrong.,5,somewhat not inclusive,not inclusive,8,somewhat constructive,constructive
2,sync,amphp,14,Next major,"PullRequestPart(sha=""10b86082474e297d06d818f50bdf823a3cb74bf3"")",Jáchym Toušek,[],https://api.github.com/repos/amphp/sync/pulls/14,open,"Just wanted to make a PR with things that can be considered for the next major release (whenever you decide to make it). I won't keep this up-to-date with conflicts unless you explicitly ask me to rebase it.

- https://github.com/amphp/file/pull/43#discussion_r418936134
- https://github.com/amphp/sync/issues/12
- Removed deprecated ext-pthreads support.

EDIT: Somehow it's causing a segfault on travis lol.",43,263,1,8,2020-05-02 09:55:36,,FALSE,,,17,2020-05-19 14:56:22,TRUE,2020-05-02 10:19:54,Niklas Keller,2020-05-19 14:56:22,Needs to keep `|null` here as well.,2,not inclusive,not inclusive,4,somewhat not constructive,constructive
3,sync,amphp,14,Next major,"PullRequestPart(sha=""10b86082474e297d06d818f50bdf823a3cb74bf3"")",Jáchym Toušek,[],https://api.github.com/repos/amphp/sync/pulls/14,open,"Just wanted to make a PR with things that can be considered for the next major release (whenever you decide to make it). I won't keep this up-to-date with conflicts unless you explicitly ask me to rebase it.

- https://github.com/amphp/file/pull/43#discussion_r418936134
- https://github.com/amphp/sync/issues/12
- Removed deprecated ext-pthreads support.

EDIT: Somehow it's causing a segfault on travis lol.",43,263,1,8,2020-05-02 09:55:36,,FALSE,,,17,2020-05-19 14:56:22,TRUE,2020-05-02 10:21:35,Niklas Keller,2020-05-19 14:56:22,"If the previous release failed, this should probably not return `new Success;`. This is the kind of problems you run into once you return a promise. :P",8,somewhat inclusive,inclusive,9,somewhat constructive,constructive
4,sync,amphp,14,Next major,"PullRequestPart(sha=""10b86082474e297d06d818f50bdf823a3cb74bf3"")",Jáchym Toušek,[],https://api.github.com/repos/amphp/sync/pulls/14,open,"Just wanted to make a PR with things that can be considered for the next major release (whenever you decide to make it). I won't keep this up-to-date with conflicts unless you explicitly ask me to rebase it.

- https://github.com/amphp/file/pull/43#discussion_r418936134
- https://github.com/amphp/sync/issues/12
- Removed deprecated ext-pthreads support.

EDIT: Somehow it's causing a segfault on travis lol.",43,263,1,8,2020-05-02 09:55:36,,FALSE,,,17,2020-05-19 14:56:22,TRUE,2020-05-02 10:22:53,Niklas Keller,2020-05-19 14:56:22,I think we can keep the exception non-final.,7,somewhat inclusive,inclusive,5,somewhat not constructive,constructive
5,sync,amphp,14,Next major,"PullRequestPart(sha=""10b86082474e297d06d818f50bdf823a3cb74bf3"")",Jáchym Toušek,[],https://api.github.com/repos/amphp/sync/pulls/14,open,"Just wanted to make a PR with things that can be considered for the next major release (whenever you decide to make it). I won't keep this up-to-date with conflicts unless you explicitly ask me to rebase it.

- https://github.com/amphp/file/pull/43#discussion_r418936134
- https://github.com/amphp/sync/issues/12
- Removed deprecated ext-pthreads support.

EDIT: Somehow it's causing a segfault on travis lol.",43,263,1,8,2020-05-02 09:55:36,,FALSE,,,17,2020-05-19 14:56:22,TRUE,2020-05-02 10:23:28,Niklas Keller,2020-05-19 14:56:22,I'm not sure whether we want to directly remove it. @trowski?,5,somewhat not inclusive,not inclusive,8,somewhat constructive,constructive
6,sync,amphp,14,Next major,"PullRequestPart(sha=""10b86082474e297d06d818f50bdf823a3cb74bf3"")",Jáchym Toušek,[],https://api.github.com/repos/amphp/sync/pulls/14,open,"Just wanted to make a PR with things that can be considered for the next major release (whenever you decide to make it). I won't keep this up-to-date with conflicts unless you explicitly ask me to rebase it.

- https://github.com/amphp/file/pull/43#discussion_r418936134
- https://github.com/amphp/sync/issues/12
- Removed deprecated ext-pthreads support.

EDIT: Somehow it's causing a segfault on travis lol.",43,263,1,8,2020-05-02 09:55:36,,FALSE,,,17,2020-05-19 14:56:22,TRUE,2020-05-02 14:17:23,Aaron Piotrowski,2020-05-19 14:56:22,I've found the `$id` property to be completely pointless.,10,inclusive,inclusive,8,somewhat constructive,constructive
7,sync,amphp,14,Next major,"PullRequestPart(sha=""10b86082474e297d06d818f50bdf823a3cb74bf3"")",Jáchym Toušek,[],https://api.github.com/repos/amphp/sync/pulls/14,open,"Just wanted to make a PR with things that can be considered for the next major release (whenever you decide to make it). I won't keep this up-to-date with conflicts unless you explicitly ask me to rebase it.

- https://github.com/amphp/file/pull/43#discussion_r418936134
- https://github.com/amphp/sync/issues/12
- Removed deprecated ext-pthreads support.

EDIT: Somehow it's causing a segfault on travis lol.",43,263,1,8,2020-05-02 09:55:36,,FALSE,,,17,2020-05-19 14:56:22,TRUE,2020-05-02 14:18:41,Aaron Piotrowski,2020-05-19 14:56:22,@enumag The promise from `$this->releaser` can be stored and returned here instead. We might want to remove passing `$this` to the function to avoid a circular reference.,7,neutral,inclusive,10,constructive,constructive
8,sync,amphp,14,Next major,"PullRequestPart(sha=""10b86082474e297d06d818f50bdf823a3cb74bf3"")",Jáchym Toušek,[],https://api.github.com/repos/amphp/sync/pulls/14,open,"Just wanted to make a PR with things that can be considered for the next major release (whenever you decide to make it). I won't keep this up-to-date with conflicts unless you explicitly ask me to rebase it.

- https://github.com/amphp/file/pull/43#discussion_r418936134
- https://github.com/amphp/sync/issues/12
- Removed deprecated ext-pthreads support.

EDIT: Somehow it's causing a segfault on travis lol.",43,263,1,8,2020-05-02 09:55:36,,FALSE,,,17,2020-05-19 14:56:22,TRUE,2020-05-02 14:21:50,Aaron Piotrowski,2020-05-19 14:56:22,"I'm not sure there's a lot of usage of `pthreads` anymore, so dropping support is probably fine.",5,somewhat not inclusive,not inclusive,8,somewhat constructive,constructive
9,sync,amphp,14,Next major,"PullRequestPart(sha=""10b86082474e297d06d818f50bdf823a3cb74bf3"")",Jáchym Toušek,[],https://api.github.com/repos/amphp/sync/pulls/14,open,"Just wanted to make a PR with things that can be considered for the next major release (whenever you decide to make it). I won't keep this up-to-date with conflicts unless you explicitly ask me to rebase it.

- https://github.com/amphp/file/pull/43#discussion_r418936134
- https://github.com/amphp/sync/issues/12
- Removed deprecated ext-pthreads support.

EDIT: Somehow it's causing a segfault on travis lol.",43,263,1,8,2020-05-02 09:55:36,,FALSE,,,17,2020-05-19 14:56:22,TRUE,2020-05-02 14:55:30,Niklas Keller,2020-05-19 14:56:22,It's used here: https://github.com/amphp/sync/blob/b33f8b7e3b463cd864ed75f4759ad5d74436e632/src/SemaphoreMutex.php#L27,8,somewhat inclusive,inclusive,10,constructive,constructive
10,sync,amphp,14,Next major,"PullRequestPart(sha=""10b86082474e297d06d818f50bdf823a3cb74bf3"")",Jáchym Toušek,[],https://api.github.com/repos/amphp/sync/pulls/14,open,"Just wanted to make a PR with things that can be considered for the next major release (whenever you decide to make it). I won't keep this up-to-date with conflicts unless you explicitly ask me to rebase it.

- https://github.com/amphp/file/pull/43#discussion_r418936134
- https://github.com/amphp/sync/issues/12
- Removed deprecated ext-pthreads support.

EDIT: Somehow it's causing a segfault on travis lol.",43,263,1,8,2020-05-02 09:55:36,,FALSE,,,17,2020-05-19 14:56:22,TRUE,2020-05-02 15:04:02,Aaron Piotrowski,2020-05-19 14:56:22,I suppose that's helpful. I've otherwise never needed to use the ID.,8,somewhat inclusive,inclusive,8,somewhat constructive,constructive
