,Repo_Name,Organization_Name,PR_Number,PR_Title,PR_Head,User,PR_Labels,URL,PR_State,PR_Body,PR_Additions,PR_Deletions,PR_Comments_Num,PR_Commits_Num,PR_Created_At,PR_Closed_At,PR_Merged,PR_Merged_At,PR_Merged_By,PR_Review_Comments_Num,PR_Updated_At,Review_Comment,Comment_Created_At,Comment_User,Comment_Updated_At,Comment,Inclusiveness_Scale_1_to_10,Inclusiveness_5_Categories,Inclusiveness_2_Categories,Constructiveness_Scale_1_to_10,Constructiveness_5_Categories,Constructiveness_2_Categories
0,discord.js,discordjs,6278,types(StartThreadOptions): mark autoArchiveDuration as optional,"PullRequestPart(sha=""8419783bcf66f32eda19a2176b517d6f80bd0579"")",Rodry,"[Label(name=""documentation""), Label(name=""typings""), Label(name=""threads"")]",https://api.github.com/repos/discordjs/discord.js/pulls/6278,open,"**Please describe the changes this PR makes and why it should be merged:**
Since the addition of default auto archive durations to Discord, the autoArchiveDuration parameter is now optional on the Discord API (tested). This PR marks that parameter as optional on the docs and types. Also moved the ThreadAutoArchiveDuration typedef to the Message.js file since it's only used there, no changes in the content of the typdef however.

穴 Upstream PR: 
- https://github.com/discord/discord-api-docs/pull/3567

**Status and versioning classification:**
- Code changes have been tested against the Discord API, or there are no code changes
- I know how to update typings and have done so, or typings don't need updating

<!--
Please move lines that apply to you out of the comment:
- This PR changes the library's interface (methods or parameters added)
- This PR includes breaking changes (methods removed or renamed, parameters moved or removed)
- This PR **only** includes non-code changes, like changes to documentation, README, etc.
-->",22,15,4,2,2021-08-02 21:05:33,,FALSE,,,0,2021-10-14 16:52:12,FALSE,2021-08-04 20:57:42,Rodry,2021-08-04 20:57:42,Made `this.channel.defaultArchiveDuration` the default for autoArchiveDuration due to the conversation on the upstream PR where we found that Discord always defaults to 24h no matter what this is set to and passing null is ignored so it will replicate the default behavior of the API,10,inclusive,inclusive,10,constructive,constructive
1,discord.js,discordjs,6278,types(StartThreadOptions): mark autoArchiveDuration as optional,"PullRequestPart(sha=""8419783bcf66f32eda19a2176b517d6f80bd0579"")",Rodry,"[Label(name=""documentation""), Label(name=""typings""), Label(name=""threads"")]",https://api.github.com/repos/discordjs/discord.js/pulls/6278,open,"**Please describe the changes this PR makes and why it should be merged:**
Since the addition of default auto archive durations to Discord, the autoArchiveDuration parameter is now optional on the Discord API (tested). This PR marks that parameter as optional on the docs and types. Also moved the ThreadAutoArchiveDuration typedef to the Message.js file since it's only used there, no changes in the content of the typdef however.

穴 Upstream PR: 
- https://github.com/discord/discord-api-docs/pull/3567

**Status and versioning classification:**
- Code changes have been tested against the Discord API, or there are no code changes
- I know how to update typings and have done so, or typings don't need updating

<!--
Please move lines that apply to you out of the comment:
- This PR changes the library's interface (methods or parameters added)
- This PR includes breaking changes (methods removed or renamed, parameters moved or removed)
- This PR **only** includes non-code changes, like changes to documentation, README, etc.
-->",22,15,4,2,2021-08-02 21:05:33,,FALSE,,,0,2021-10-14 16:52:12,FALSE,2021-08-05 15:41:49,Noel,2021-08-05 15:41:49,I'm honestly not sure what to do with this PR in its current state and what seems to me like a Discord API bug.,8,somewhat inclusive,inclusive,8,somewhat constructive,constructive
2,discord.js,discordjs,6278,types(StartThreadOptions): mark autoArchiveDuration as optional,"PullRequestPart(sha=""8419783bcf66f32eda19a2176b517d6f80bd0579"")",Rodry,"[Label(name=""documentation""), Label(name=""typings""), Label(name=""threads"")]",https://api.github.com/repos/discordjs/discord.js/pulls/6278,open,"**Please describe the changes this PR makes and why it should be merged:**
Since the addition of default auto archive durations to Discord, the autoArchiveDuration parameter is now optional on the Discord API (tested). This PR marks that parameter as optional on the docs and types. Also moved the ThreadAutoArchiveDuration typedef to the Message.js file since it's only used there, no changes in the content of the typdef however.

穴 Upstream PR: 
- https://github.com/discord/discord-api-docs/pull/3567

**Status and versioning classification:**
- Code changes have been tested against the Discord API, or there are no code changes
- I know how to update typings and have done so, or typings don't need updating

<!--
Please move lines that apply to you out of the comment:
- This PR changes the library's interface (methods or parameters added)
- This PR includes breaking changes (methods removed or renamed, parameters moved or removed)
- This PR **only** includes non-code changes, like changes to documentation, README, etc.
-->",22,15,4,2,2021-08-02 21:05:33,,FALSE,,,0,2021-10-14 16:52:12,FALSE,2021-08-05 15:46:24,Rodry,2021-08-05 15:46:24,"> I'm honestly not sure what to do with this PR in its current state and what seems to me like a Discord API bug.

I think we should wait to see what the dapi maintainers say about the other PR and if the bug gets fixed. If it does I can revert the last commit",10,inclusive,inclusive,10,constructive,constructive
3,discord.js,discordjs,6278,types(StartThreadOptions): mark autoArchiveDuration as optional,"PullRequestPart(sha=""8419783bcf66f32eda19a2176b517d6f80bd0579"")",Rodry,"[Label(name=""documentation""), Label(name=""typings""), Label(name=""threads"")]",https://api.github.com/repos/discordjs/discord.js/pulls/6278,open,"**Please describe the changes this PR makes and why it should be merged:**
Since the addition of default auto archive durations to Discord, the autoArchiveDuration parameter is now optional on the Discord API (tested). This PR marks that parameter as optional on the docs and types. Also moved the ThreadAutoArchiveDuration typedef to the Message.js file since it's only used there, no changes in the content of the typdef however.

穴 Upstream PR: 
- https://github.com/discord/discord-api-docs/pull/3567

**Status and versioning classification:**
- Code changes have been tested against the Discord API, or there are no code changes
- I know how to update typings and have done so, or typings don't need updating

<!--
Please move lines that apply to you out of the comment:
- This PR changes the library's interface (methods or parameters added)
- This PR includes breaking changes (methods removed or renamed, parameters moved or removed)
- This PR **only** includes non-code changes, like changes to documentation, README, etc.
-->",22,15,4,2,2021-08-02 21:05:33,,FALSE,,,0,2021-10-14 16:52:12,FALSE,2021-10-14 16:52:12,Rodry,2021-10-14 16:52:12,Upstream PR has been merged,5,neutral,inclusive,7,somewhat constructive,constructive
4,discord.js,discordjs,6324,refactor(MessageCreate): remove message event,"PullRequestPart(sha=""2bb744d378333b3de2123d18bbd2ee07688ba19f"")",Matt (IPv4) Cowley,"[Label(name=""gateway""), Label(name=""semver:major"")]",https://api.github.com/repos/discordjs/discord.js/pulls/6324,open,"**Please describe the changes this PR makes and why it should be merged:**

First(?) semver major PR ready for v14 -- removes the deprecated client `message` event.

**Status and versioning classification:**

- Code changes have been tested against the Discord API, or there are no code changes
- I know how to update typings and have done so, or typings don't need updating
- This PR includes breaking changes (methods removed or renamed, parameters moved or removed)",1,16,1,2,2021-08-06 21:24:24,,FALSE,,,0,2021-10-13 13:05:47,FALSE,2021-08-06 21:31:01,Noel,2021-08-06 21:31:01,Slash commands only 乖,8,somewhat inclusive,inclusive,8,somewhat constructive,constructive
5,discord.js,discordjs,6326,refactor(InteractionCreate): remove interaction event,"PullRequestPart(sha=""3a6ecfae839b63200b6ec471a92f7e8d7d06f541"")",Matt (IPv4) Cowley,"[Label(name=""gateway""), Label(name=""semver:major"")]",https://api.github.com/repos/discordjs/discord.js/pulls/6326,open,"**Please describe the changes this PR makes and why it should be merged:**

Akin to #6324, removes the deprecated client `interaction` event.

**Status and versioning classification:**

- Code changes have been tested against the Discord API, or there are no code changes
- I know how to update typings and have done so, or typings don't need updating
- This PR includes breaking changes (methods removed or renamed, parameters moved or removed)",1,16,2,2,2021-08-06 21:33:53,,FALSE,,,0,2021-10-13 13:05:27,FALSE,2021-10-02 11:58:29,Noel,2021-10-02 11:58:29,This needs a rebase.,5,neutral,inclusive,5,neutral,constructive
6,discord.js,discordjs,6326,refactor(InteractionCreate): remove interaction event,"PullRequestPart(sha=""3a6ecfae839b63200b6ec471a92f7e8d7d06f541"")",Matt (IPv4) Cowley,"[Label(name=""gateway""), Label(name=""semver:major"")]",https://api.github.com/repos/discordjs/discord.js/pulls/6326,open,"**Please describe the changes this PR makes and why it should be merged:**

Akin to #6324, removes the deprecated client `interaction` event.

**Status and versioning classification:**

- Code changes have been tested against the Discord API, or there are no code changes
- I know how to update typings and have done so, or typings don't need updating
- This PR includes breaking changes (methods removed or renamed, parameters moved or removed)",1,16,2,2,2021-08-06 21:33:53,,FALSE,,,0,2021-10-13 13:05:27,FALSE,2021-10-03 12:38:42,Matt (IPv4) Cowley,2021-10-03 12:38:42,笨� Rebased,5,neutral,inclusive,5,neutral,constructive
7,discord.js,discordjs,6327,refactor(Client): remove message sweeping options,"PullRequestPart(sha=""15b83ebf56299bf9ce13d8b2285b00af64b3f47a"")",Matt (IPv4) Cowley,"[Label(name=""caching""), Label(name=""semver:major"")]",https://api.github.com/repos/discordjs/discord.js/pulls/6327,open,"**Please describe the changes this PR makes and why it should be merged:**

Removes the deprecated `messageSweepInterval` and `messageCacheLifetime` client options, and the `sweepMessages` client method that they used.

**Status and versioning classification:**

- Code changes have been tested against the Discord API, or there are no code changes
- I know how to update typings and have done so, or typings don't need updating
- This PR includes breaking changes (methods removed or renamed, parameters moved or removed)
",0,72,2,1,2021-08-06 21:43:34,,FALSE,,,0,2021-10-13 13:05:56,FALSE,2021-10-02 11:58:33,Noel,2021-10-02 11:58:33,This needs a rebase.,5,neutral,inclusive,5,neutral,constructive
8,discord.js,discordjs,6327,refactor(Client): remove message sweeping options,"PullRequestPart(sha=""15b83ebf56299bf9ce13d8b2285b00af64b3f47a"")",Matt (IPv4) Cowley,"[Label(name=""caching""), Label(name=""semver:major"")]",https://api.github.com/repos/discordjs/discord.js/pulls/6327,open,"**Please describe the changes this PR makes and why it should be merged:**

Removes the deprecated `messageSweepInterval` and `messageCacheLifetime` client options, and the `sweepMessages` client method that they used.

**Status and versioning classification:**

- Code changes have been tested against the Discord API, or there are no code changes
- I know how to update typings and have done so, or typings don't need updating
- This PR includes breaking changes (methods removed or renamed, parameters moved or removed)
",0,72,2,1,2021-08-06 21:43:34,,FALSE,,,0,2021-10-13 13:05:56,FALSE,2021-10-03 12:38:13,Matt (IPv4) Cowley,2021-10-03 12:38:13,笨� Rebased,5,neutral,inclusive,5,neutral,constructive
9,discord.js,discordjs,6377,fix(VoiceState): Ensure `suppress` & `streaming` have proper fallback values,"PullRequestPart(sha=""29ade69be2d6e6db44ade67a23226ebc9444fae6"")",,"[Label(name=""gateway""), Label(name=""semver:major"")]",https://api.github.com/repos/discordjs/discord.js/pulls/6377,open,"**Please describe the changes this PR makes and why it should be merged:**
`VoiceState#suppress` can be `undefined`. This is achieved by not knowing the state of a `GuildMember`'s `VoiceState` upon them joining a voice channel or a stage channel.

This can be reproduced by starting the bot up using the following code:
```JavaScript
const Client = new (require(""discord.js"")).Client({
  intents: [
    ""GUILD_VOICE_STATES""
  ]
});

Client.on(""voiceStateUpdate"", oldState => console.log(oldState));

Client.login(""token"");
```
<details>
<summary><code>console.log(oldState)</code></summary>

```JavaScript
VoiceState {
  guild: <ref *1> Guild {
    id: '534940241002233896',
    name: undefined,
    icon: undefined,
    features: undefined,
    commands: GuildApplicationCommandManager {
      permissions: [ApplicationCommandPermissionsManager],
      guild: [Circular *1]
    },
    members: GuildMemberManager { guild: [Circular *1] },
    channels: GuildChannelManager { guild: [Circular *1] },
    bans: GuildBanManager { guild: [Circular *1] },
    roles: RoleManager { guild: [Circular *1] },
    presences: PresenceManager {},
    voiceStates: VoiceStateManager { guild: [Circular *1] },
    stageInstances: StageInstanceManager { guild: [Circular *1] },
    invites: GuildInviteManager { guild: [Circular *1] },
    deleted: false,
    available: false,
    shardId: 0
  },
  id: '618976181026422814',
  serverDeaf: null,
  serverMute: null,
  selfDeaf: null,
  selfMute: null,
  selfVideo: null,
  sessionId: null,
  streaming: false,
  channelId: null,
  suppress: undefined,
  requestToSpeakTimestamp: null
}
```
</details>

It seems this happens because of this:
https://github.com/discordjs/discord.js/blob/622f398f4b36b00d0a347b548f63524703c2d395/src/client/actions/VoiceStateUpdate.js#L14

Since the guild member's voice state was not cached, a new `VoiceState` was being made. But there is no default value for `VoiceState#suppress`:
https://github.com/discordjs/discord.js/blob/006edca410f5df53f3272f7a402f2305f73ad14b/src/structures/VoiceState.js#L74
This is the source of it being `undefined`.

This pull request ensures the default value of `VoiceState#suppress` is `true`, as it can be assumed that upon joining a stage channel that they are suppressed from speaking.

**Status and versioning classification:**
- Code changes have been tested against the Discord API, or there are no code changes
- I know how to update typings and have done so, or typings don't need updating

<!--
Please move lines that apply to you out of the comment:
- This PR changes the library's interface (methods or parameters added)
- This PR includes breaking changes (methods removed or renamed, parameters moved or removed)
- This PR **only** includes non-code changes, like changes to documentation, README, etc.
-->",6,4,7,7,2021-08-10 19:44:22,,FALSE,,,7,2021-10-03 22:16:14,FALSE,2021-08-10 20:33:20,,2021-08-10 20:33:20,"Actually, it looks like the received packet includes `suppress`, so I just went ahead and supplied that when a new `VoiceState` was being created.",8,somewhat inclusive,inclusive,8,somewhat constructive,constructive
